Pallet ID,Pallet Title,LP,Category,Brand,Product Name,UPC,ASIN,Orig. Retail,Condition,Ave. Price per Unit
CSYY002224,"Portable Audio, General Electronics, Cell Phone Accessories - Nintendo, Sony, Zagg",LPBX582380,General Electronics,Woods International,Woods  Vacuum Cord 20ft - Gray,78693005473,B003WM15LG,$6.99 ,New,$20.05 
CSYY002224,"Portable Audio, General Electronics, Cell Phone Accessories - Nintendo, Sony, Zagg",LPBX582411,General Electronics,Woods International,Woods  Vacuum Cord 20ft - Gray,78693005473,B003WM15LG,$6.99 ,New,$20.05 
CSYY002224,"Portable Audio, General Electronics, Cell Phone Accessories - Nintendo, Sony, Zagg",LPBX562581,Video Games & Consoles,Nintendo,Nintendo Joy-Con Gaming Controllers - Red/Blue,45496590130,B076PL23SG,$79.99 ,New,$20.05 
CSYY002224,"Portable Audio, General Electronics, Cell Phone Accessories - Nintendo, Sony, Zagg",LPBY103419,Portable Audio,Griffin,Griffin GB36152-3 Survivor Skin iPod Touch 5th Generation - Blue,6.85387E+11,B0160D8QJ2,$19.00 ,New,$20.05 
CSYY002224,"Portable Audio, General Electronics, Cell Phone Accessories - Nintendo, Sony, Zagg",LPBY103424,Portable Audio,Griffin,Griffin GB36152-3 Survivor Skin iPod Touch 5th Generation - Blue,6.85387E+11,B0160D8QJ2,$19.00 ,New,$20.05 
CSYY002224,"Portable Audio, General Electronics, Cell Phone Accessories - Nintendo, Sony, Zagg",LPBY103430,Portable Audio,Griffin,Griffin GB36152-3 Survivor Skin iPod Touch 5th Generation - Blue,6.85387E+11,B0160D8QJ2,$19.00 ,New,$20.05 
CSYY002224,"Portable Audio, General Electronics, Cell Phone Accessories - Nintendo, Sony, Zagg",LPBY112344,TVs & Home Theater,eMatic,"Ematic Low Profile Mount 23-65"" - Black (EMW5105 )",8.17707E+11,B07M9SNN5Q,$24.99 ,New,$20.05 
CSYY002224,"Portable Audio, General Electronics, Cell Phone Accessories - Nintendo, Sony, Zagg",LPBY091080,More Home Goods,Post-It,"Post-it  Pop-up Note Dispenser, Steel Top, Gray / White",76308934514,B0776MC61W,$9.99 ,New,$20.05 
CSYY002224,"Portable Audio, General Electronics, Cell Phone Accessories - Nintendo, Sony, Zagg",LPBY091081,More Home Goods,Post-It,"Post-it  Pop-up Note Dispenser, Steel Top, Gray / White",76308934514,B0776MC61W,$9.99 ,New,$20.05 
CSYY002224,"Portable Audio, General Electronics, Cell Phone Accessories - Nintendo, Sony, Zagg",LPBY091082,More Home Goods,Post-It,"Post-it  Pop-up Note Dispenser, Steel Top, Gray / White",76308934514,B0776MC61W,$9.99 ,New,$20.05 
