Pallet ID,Pallet Title,LP,Category,Brand,Product Name,UPC,ASIN,Orig. Retail,Condition,Ave. Price per Unit
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPBV183266,Cell Phone Accessories,Aduro,Aduro USB to Lightning Charge & Sync Cable for Apple Devices - Pink/White,8.49813E+11,B00NT892Z4,$29.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX156492,Cell Phone Accessories,Faly Time World,Faly Clear Tempered Glass Screen Protector for iPhone 6/6s - Pack of 2,7.31631E+11,,$10.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPXX156494,Cell Phone Accessories,Fally,Fally Apple Watch Silicone Sport Band 42mm - Black/Blue,7.31631E+11,,$61.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPBV183320,Cell Phone Accessories,Kryllic,Qtip Cotton Swab Dispenser Holder - Acrylic Apothecary Vanity countertop Organizer Box Jars for qtips Bobby pins toothpicks Cotton Balls & Any Small Health Beauty Bathroom Accessories Items Holder!,18227298827,B01F7TUOXG,$27.00 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPBV183321,Cell Phone Accessories,Kryllic,Qtip Cotton Swab Dispenser Holder - Acrylic Apothecary Vanity countertop Organizer Box Jars for qtips Bobby pins toothpicks Cotton Balls & Any Small Health Beauty Bathroom Accessories Items Holder!,18227298827,B01F7TUOXG,$27.00 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPBV183322,Cell Phone Accessories,Kryllic,Qtip Cotton Swab Dispenser Holder - Acrylic Apothecary Vanity countertop Organizer Box Jars for qtips Bobby pins toothpicks Cotton Balls & Any Small Health Beauty Bathroom Accessories Items Holder!,18227298827,B01F7TUOXG,$27.00 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPBV183323,Cell Phone Accessories,Kryllic,Qtip Cotton Swab Dispenser Holder - Acrylic Apothecary Vanity countertop Organizer Box Jars for qtips Bobby pins toothpicks Cotton Balls & Any Small Health Beauty Bathroom Accessories Items Holder!,18227298827,B01F7TUOXG,$27.00 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPBV183264,Cell Phone Accessories,GabbaGoods,Metallix Apple-Certified Lightning Charger Cable: 10Ft/1-Pack/Gold,8.13085E+11,,$33.32 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPBV181945,Cell Phone Accessories,Waloo,Waloo Silicone Textured Case For Iphone Xs Max - Black,3.09273E+11,,$24.99 ,New,$6.38 
CSAA182421,"Cell Phone Accessories - Playtek, HiFuture, Fally",LPBV181891,Cell Phone Accessories,WalvoDesign,Tpu Bumper Clear Case With Tempered Glass Screen Protector For Iphone Clear Single Iphone 11 Pro,6.82158E+11,,$11.99 ,New,$6.38 
