https://www.liquidation.com/aucimg/14448/m14448285.html
Product	Quantity	Retail Price	Total Retail Price	UPC	Notes
NETGEAR Nighthawk X4S Smart WiFi Router (R7800) - AC2600 Wireless Speed (up to 2600 Mbps) Up to 2500 sq ft Coverage & 45 Devices 4 x 1G Ethernet, 2 x 3.0 USB, and 1 x eSATA ports	1	$169.99	$169.99		
Turtle Beach Stealth 700 Premium Wireless Surround Sound Gaming Headset - Xbox One	1	$149.95	$149.95		
Audio-Technica ATH-M50x Professional Studio Monitor Headphones, Black, Professional Grade, Critically Acclaimed, With Detachable Cable	1	$149.00	$149.00		
BeatsX Wireless Earphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 8 Hours Of Listening Time - Black	1	$99.95	$99.95		
BeatsX Wireless Earphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 8 Hours Of Listening Time - Black	1	$99.95	$99.95		
Razer Kraken Tournament Edition THX 7.1 Surround Sound Gaming Headset: Aluminum Frame - Retractable Noise Cancelling Mic - USB DAC Included - For PC, PS4, Nintendo Switch - Green	1	$74.99	$74.99		
Apple Smart Keyboard for iPad Pro 12.9in (for 1-2 generation) MJYR2LL/A (Renewed)	1	$67.71	$67.71		
PRO ART Square Artist Pastel Set, 72 Assorted Colors Wood Box	1	$53.94	$53.94		
Deluxe Quick-Access Firearm Safety Device with Biometric Fingerprint Lock	1	$53.27	$53.27		
EVGA GT 710 2GB DDR3 64bit Single Slot, Dual DVI 02G-P3-2717-KR	1	$53.03	$53.03		
Cooler Master MasterLiquid ML120L RGB Close-Loop CPU Liquid Cooler, 120mm Radiator, Dual Chamber RGB Pump, Dual MF120R RGB Fans w/ RGB Lighting Sync for AMD Ryzen/Intel 1151/2066	1	$52.89	$52.89		
NETGEAR Nighthawk Smart WiFi Router (R6700) - AC1750 Wireless Speed (up to 1750 Mbps) Up to 1500 sq ft Coverage & 25 Devices 4 x 1G Ethernet and 1 x 3.0 USB ports Armor Security	1	$51.35	$51.35		
Optoma NuForce BE Sport4 Premium Wireless Sport earphones with mic and 10h battery, sweat proof, AAC + aptX, Quick Charge, Graphene drivers, compatible with Android and iPhone	1	$49.00	$49.00		
SteelSeries Arctis 1 Wired Gaming Headset	1	$43.99	$43.99		
Epson T522520 EcoTank Ink Bottle - Color Multi Pack (for use with EcoTank ET-2720, ET-4700)	1	$41.95	$41.95		
Divoom Divoom timebox Mini Portable sleepaid Smart Alarm Clock with app programmable, 2.4 Ounce	1	$37.79	$37.79		
Fujifilm Instax Mini 9 Camera with Fuji Instant Film (40 Sheets) & Accessories Bundle Includes Case, Filters, Album, Lens, and More	1	$33.66	$33.66		
PAC SWI-RC Steering Wheel Control Interface	1	$27.58	$27.58		
