Product,Quantity,Retail Price,Total Retail Price,UPC,Notes,purl,bid
"Motorola Video Baby Monitor 5 Color Parent Unit, Remote Pan/Tilt/Zoom, Portable Rechargeable Camera, Two-Way Audio, Night Vision, 5 Lullabies, MBP36XL",5,$129.26 ,$129.26 ,,,https://www.liquidation.com/auction/view?id=14461935,$410.00 
"1296P HD Police Body Camera,64G Memory,CammPro Premium Portable Body Camera,Waterproof Body-Worn Camera with 2 Inch Display,Night Vision,GPS for Law Enforcement Recorder,Security Guards,Personal Use",1,$128.00 ,$128.00 ,,,,
"NETGEAR WiFi Range Extender EX6120 - Coverage up to 1200 sq.ft. and 20 devices with AC1200 Dual Band Wireless Signal Booster & Repeater (up to 1200Mbps speed), and Compact Wall Plug Design",1,$122.99 ,$122.99 ,,,,
"PANASONIC Expandable Cordless Phone System with Link2Cell Bluetooth, Voice Assistant, Answering Machine and Call Blocking - 4 Cordless Handsets - KX-TGD564M (Metallic Black)",1,$91.97 ,$91.97 ,,,,
Xbox Wireless Controller - Grey And Blue,1,$64.99 ,$64.99 ,,,,
"MOTOROLA MG7315 8x4 Cable Modem Plus N450 Single Band Wi-Fi Gigabit Router with Power Boost, 343 Mbps Maximum DOCSIS 3.0 - Approved by Comcast Xfinity, Cox, Charter Spectrum",1,$50.38 ,$50.38 ,,,,
Assorted Office and Electronics,3,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Otterbox Defender Iphone 6/6s Case - Frustration Free Packaging - Black,1,$39.97 ,$39.97 ,,,,
Lifeproof FRĒ Series Waterproof Case for Samsung Galaxy S9 - Retail Packaging - Chakra (Rose/Fusion Coral/Royal Lilac),1,$39.94 ,$39.94 ,,,,
"Bluetooth Speakers, Bugani M83 Waterproof Outdoor Speakers Bluetooth 5.0, 40W Wireless Stereo Pairing Booming Bass Speaker, 2400 Minutes Playtime with Charge Your Phone, for Home Party, Camping, Gym.",1,$32.89 ,$32.89 ,,,,
"DYMO Label Maker with 3 Bonus Labeling Tapes LetraTag 100H Handheld Label Maker & LT Label Tapes, Easy-to-Use, Great for Home & Office Organization",1,$29.40 ,$29.40 ,,,,
ZAGG InvisibleShield Ultra Clear Plus - Film Screen Protector - Made for Samsung Galaxy S20 Plus - Case Friendly (200204837),1,$28.10 ,$28.10 ,,,,
"Speck Products Presidio Stay Clear iPhone 11 Case, Clear/Clear",1,$27.68 ,$27.68 ,,,,
"Speck Products Presidio Stay Clear iPhone 11 Case, Clear/Clear",1,$27.68 ,$27.68 ,,,,
Fortnite: Darkfire Bundle - Xbox One (Disc Not Included),1,$24.97 ,$24.97 ,,,,
The Hits (180 Gram Platinum Swirl Audiophile Vinyl/Limited Edition/Gatefold Cover),1,$24.64 ,$24.64 ,,,,
Love And Hate [2 LP],1,$22.99 ,$22.99 ,,,,
"Pico Projector - Artlii 2020 New Mini Projector, Color LED Pico Projector for Cartoon, Movie, Kids Gift, Compatible with HDMI USB Laptop Video Games",1,$20.32 ,$20.32 ,,,,
Miss Machine [Vinyl],1,$19.98 ,$19.98 ,,,,
"Finishing Touch Flawless Women's Painless Hair Remover , White/Rose Gold",1,$19.88 ,$19.88 ,,,,
"2.5"" 1TB/2TB Ultra Slim Portable External Hard Drive USB3.0 HDD Storage for PC, Mac, Desktop, Laptop, MacBook, Chromebook, Xbox One, Xbox 360, PS4 (2TB, Blue)",1,$19.55 ,$19.55 ,,,,
"Polaroid Originals Color Film for SX-70 (4676),White",1,$18.99 ,$18.99 ,,,,
"iMBAPrice 15' Cat5e Network Ethernet Patch Cable, 10 Pack, Black (IMBA-CAT5-15BK-10PK)",1,$18.99 ,$18.99 ,,,,
The Sufferer & the Witness [Vinyl],1,$18.15 ,$18.15 ,,,,
Kind Of Blue (Vinyl),1,$18.00 ,$18.00 ,,,,
"i-Blason Armorbox Case for iPhone 8 Plus/iPhone 7 Plus, Built in Screen Protector Full Body Heavy Duty Protection Reduction / Bumper Case (Black)",1,$17.98 ,$17.98 ,,,,
Hexed,1,$17.89 ,$17.89 ,,,,
