
Retail Price	Description	Quantity
274.99	Fossil - Gen 4 eXplorist HR Smartwatch	1
124.99	Garmin Vivoactive	1
179.99	Verizon Gizmo Watch	1
199.99	Samsung Galaxy Gear Fit SM-R350 Smartwatch Tracker	1
29.99	Jawbone UP2 - Activity Tracker	1
249.99	Fitbit - Ionic Smartwatch	1
89.99	Microsoft Band 4M5-00002	1
64.99	Garmin - Vivosmart HR Activity Tracker	9
74.99	Garmin - vivosmart HR+ Activity Tracker	3
169.99	Garmin - vívosport Activity Tracker	3
129.99	Garmin - vivosmart 4 Activity and Fitness Tracker Tracker	7
49.99	Garmin vívosmart 3 Fitness/Activity Tracker	12
119.99	Garmin vívosport Fitness/Activity Tracker	4
249.99	Garmin vívoactive HR GPS Smart Watch	4
589.99	Samsung Galaxy Gear S SM-R750A Smart Watch With Curved Super AMOLED Display	2
699.99	Microsoft Band 2 - Activity Tracker	4
274.99	Fossil - Gen 4 Venture HR Smartwatch	8
149.99	Medical Guardian - Freedom Guardian Medical Alert Smartwatch	6
299.99	Samsung Gear 2 Neo Smartwatch	1
259.99	Samsung - Gear Fit Fitness Watch	3
399.99	Samsung Galaxy Gear - Smart Watch	3
359.99	Garmin vívofit 2 - Activity Tracker� 	3
215.99	Garmin - vívofit Fitness Band + Heart Rate	1
209.99	Garmin vívofit Fitness Band	6
59.99	Garmin Vivofit Jr. Kids Fitness Tracker Watch	8
59.99	Garmin Vivofit Junior 2 Kids Fitness Tracker Watch	22
