Product,Quantity,Retail Price,Total Retail Price,UPC,Notes
CHI Spin N Curl in Onyx Black,1,$74.99 ,$74.99 ,,
CHI Spin N Curl in Onyx Black,1,$74.99 ,$74.99 ,,
"Waterpik Water Flosser Electric Dental Countertop Oral Irrigator for Teeth - Aquarius Professional, WP-669 Deep Burgundy",1,$65.98 ,$65.98 ,,
"Waterpik Water Flosser Electric Dental Countertop Professional Oral Irrigator For Teeth, Aquarius WP-662 Black",1,$65.98 ,$65.98 ,,
Casio Women's BG169R-2 Baby-G Blue Whale Digital Sport Watch,1,$56.48 ,$56.48 ,,
"Waterpik Classic Professional Water Flosser, WP 72",1,$55.20 ,$55.20 ,,
Crest 3D White Professional Effects Whitestrips 20 Treatments + Crest 3D White 1 Hour Express Whitestrips 2 Treatments - Teeth Whitening Kit,1,$44.95 ,$44.95 ,,
"United Ortho Short Air Cam Walker Fracture Boot, Extra Large, Black",1,$44.95 ,$44.95 ,,
"Revlon Salon Straightener Copper + Ceramic Flat Iron, 1-1/2"" XL",1,$44.90 ,$44.90 ,,
"Remington F5-5800 Foil Shaver, Men's Electric Razor, Electric Shaver, Black",1,$44.70 ,$44.70 ,,
"Vichy LiftActiv Supreme Anti Aging Face Moisturizer, Anti Wrinkle Cream to Firm & Illuminate, Suitable for Sensitive Skin, 1.69 Fl Oz.",1,$42.49 ,$42.49 ,,
"Aircast Airlift PTTD Ankle Support Brace, Left Foot, Medium",1,$40.63 ,$40.63 ,,
Assorted Health and Beauty,1,$39.99 ,$39.99 ,,
"Wahl Lithium Ion All-in-One Beard Trimmer Mens Grooming Kit - Rechargeable Beard Trimmer, Hair Clipper & Electric Shavers",1,$39.98 ,$39.98 ,,
"Oral-B 1000 CrossAction Electric Toothbrush, Black, Powered by Braun",1,$39.94 ,$39.94 ,,
EVS Sports SB03BK-M Black Medium Shoulder Brace,1,$37.00 ,$37.00 ,,
"FitPro Wraparound Hinged Knee Stability Brace, Large, Exclusive Brand,Black",1,$36.58 ,$36.58 ,,
"Philips Norelco OneBlade Hybrid Electric Trimmer and Shaver, FFP, QP2520/90",1,$34.95 ,$34.95 ,,
"ABH AmazingBeauty Hair Sun-kissed Hair Balayage Extensions Tape-ins, Invisible, Double Sided Real Remy Human Hair Skin Weft, 50g 20pcs, Dark Brown with Chestnut Brown B2-6, 22 Inch",1,$34.51 ,$34.51 ,,
"Genuine Philips Sonicare E-Series replacement toothbrush heads, HX7023/30, 3 Count",1,$26.95 ,$26.95 ,,
Caruso Traveler 14 Molecular Steam Hairsetter,1,$26.17 ,$26.17 ,,
"Remington Wet2Straight Flat Iron with Ceramic + Titanium Plates, S7330A, 1 3/4 Inch",1,$24.99 ,$24.99 ,,
Full Shine Real Hair Halo 14 inch Color 60 Light Blonde With Clips Halo Extensions Remy Human Hair No Glue Invisible Fish Wire Hair One Piece Fish Line Hair Extensions 70g/set,1,$24.69 ,$24.69 ,,
"Revlon Heated Silicone Styling Brush, 1""",1,$20.49 ,$20.49 ,,
Full Shine 14 Inch Balayage Tape in Extensions Human Hair Color 6 Brown Roots Fading to 27 and 60 Platinum Blonde Remy Hair Tape Extensions Double Sided Tape In Hair Extensions 50 Grams Easy Install,1,$20.38 ,$20.38 ,,
"Philips Norelco MG3750 Multigroom All-In-One Series 3000, 13 attachment trimmer",1,$19.95 ,$19.95 ,,
"Finishing Touch Flawless Women's Painless Hair Remover , White/Rose Gold",1,$19.88 ,$19.88 ,,
