Product,Quantity,Retail Price,Total Retail Price,UPC,Notes,purl,bid
Fujinon XF60mmF2.4 R Macro,1,$649.00 ,$649.00 ,,,https://www.liquidation.com/auction/view?id=14473633,150
Mighty Mule Replacement Control Board for Mighty Mule Gate Openers (R4211),1,$248.37 ,$248.37 ,,,,
"1080P HD Projector, WiFi Projector Bluetooth Projector, Fangor 5500 Lumen 230"" Portable Movie Projector, Compatible with TV Stick, HDMI, VGA, USB, Laptop, iPhone Android for PowerPoint Presentation",1,$139.17 ,$139.17 ,,,,
"Polaroid Originals OneStep 2 VF Instant Film Cameras, Mint (9007)",1,$79.96 ,$79.96 ,,,,
Pokémon Shield - Nintendo Switch,1,$59.99 ,$59.99 ,,,,
"Epson T127120-D2 DURABrite Ultra Black Dual Pack Extra High Capacity Cartridge Ink,Black Multipack",1,$59.95 ,$59.95 ,,,,
OtterBox DEFENDER SERIES SCREENLESS EDITION Case for Galaxy S20+/Galaxy S20+ 5G - GONE FISHIN (WET WEATHER/MAJOLICA BLUE),1,$59.95 ,$59.95 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Harmon 5205 J1 Triple Play Trumpet Mute,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,,,
Pokémon Sword and Pokémon Shield Double Pack - Nintendo Switch,1,$39.86 ,$39.86 ,,,,
"8-Sheet Strip-Cut Paper, CD and Credit Card Home Office Shredder",1,$38.49 ,$38.49 ,,,,
Apple Smart Cover (for iPad 9.7-inch) - Charcoal Gray,1,$30.99 ,$30.99 ,,,,
"ONHI Wireless Keyboard Case for iPad 10.2 7th Generation 2019, iPad Air 3 10.5""(3rd Gen) and iPad Pro10.5"" 2017,360 Rotatable-7 Colors Back-lit, Smart Folio Back Wireless Keyboard Case(Rose Gold)",1,$26.21 ,$26.21 ,,,,
"Microphone Arm Stand, TONOR Adjustable Suspension Boom Scissor Mic Stand with Pop Filter, 3/8"" to 5/8"" Adapter, Mic Clip, Upgraded Heavy Duty Clamp for Blue Yeti Nano Snowball Ice and Other Mics(T20)",1,$24.32 ,$24.32 ,,,,
Ventilated Adjustable Laptop Computer Holder Desk Stand,1,$23.04 ,$23.04 ,,,,
"Wireless Earbuds, BLZK Latest Bluetooth 5.0 True Wireless Bluetooth Earbuds, with bass 3D Stereo Sound Wireless Headphones, Built-in Microphone LED Digital Shows Charging Charge (Black)",1,$23.03 ,$23.03 ,,,,
"PETG 3D Printer Filament, 2.85mm, White, 1 kg Spool",1,$21.99 ,$21.99 ,,,,
"i-Blason Cosmo Full-Body Case for iPhone Xs/ iPhone X Case 2018 Release, Blue, 5.8""",1,$21.99 ,$21.99 ,,,,
"i-Blason Cosmo Series Case for iPhone 11 Pro 5.8 inch, Slim Full-Body Stylish Protective Case with Built-in Screen Protector (Marble)",1,$19.99 ,$19.99 ,,,,
Super Mario Party,1,$19.93 ,$19.93 ,,,,
DualShock 4 Wireless Controller for PlayStation 4 - Blue Camouflage,1,$17.44 ,$17.44 ,,,,
2014 Forest Hills Drive,1,$17.40 ,$17.40 ,,,,
