Product,Quantity,Retail Price,Total Retail Price,purl,bid
LG HF65LA Ultra Short Throw LED Home Theater CineBeam Projector with Smart TV and Bluetooth Sound Out,1,"$1,196.99 ","$1,196.99 ",https://www.liquidation.com/auction/view?id=14476327,700
"Contixo F22 FPV Foldable Drone with Camera for Adults, Kids, and Beginners - RC Quadcopter with 4K FHD Gimbal Camera - Gesture Control for Selfie - GPS Auto Return - Follow Me - Carrying Case",1,$88.81 ,$88.81 ,,
"BeatsX Wireless Earphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 8 Hours Of Listening Time - Black",1,$84.99 ,$84.99 ,,
NETGEAR Nighthawk Smart WiFi Router (R7000) - AC1900 Wireless Speed (up to 1900 Mbps) Up to 1800 sq ft Coverage & 30 Devices 4 x 1G Ethernet and 2 USB ports Armor Security,1,$65.28 ,$65.28 ,,
"Turtle Beach Recon 200 Amplified Gaming Headset for Xbox One, PS4 and PS4 Pro",1,$59.99 ,$59.99 ,,
Hyperkin Duke Wired Controller for Xbox One/ Windows 10 PC (Black) - Officially Licensed by Xbox,1,$57.99 ,$57.99 ,,
"Brother Genuine High Yield Toner Cartridge, TN450, Replacement Black Toner, Page Yield Up To 2,600 Pages",1,$55.49 ,$55.49 ,,
"Sharper Image OWN ZONE Wireless Rechargeable TV Headphones- RF Connection, 2.4 GHz, Transmits Wirelessly up to 100ft, No Bluetooth Required, AUX, RCA, & Optical Cable Included (Black)",1,$54.90 ,$54.90 ,,
"DR. J Professional 3800L Full HD 1080P Portable Video Projector Supported Mini Projector [Native 1280x720], TV Stick, HDMI, VGA, USB, TF, AV, Sound Bar, Video Games Compatible Latest Upgrade",1,$49.51 ,$49.51 ,,
"VTech Kidizoom Smartwatch DX - Purple, Great Gift for Kids, Toddlers, Toy for Boys and Girls, Ages 4, 5, 6, 7, 8, 9",1,$45.99 ,$45.99 ,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,
Assorted Office and Electronics,1,$39.99 ,$39.99 ,,
"Parker Urban Fountain Pen, Premium Silvered Powder, Fine Nib with Blue Ink Refill (1931595)",1,$38.27 ,$38.27 ,,
OtterBox COMMUTER SERIES Case for iPhone SE (2nd gen - 2020) and iPhone 8/7 (NOT PLUS) - Retail Packaging - BALLET WAY (PINK SALT/BLUSH),1,$37.12 ,$37.12 ,,
JBL Flip 4 Portable Bluetooth Wireless Speaker Bundle with Protective Travel Case - Camouflage,1,$35.99 ,$35.99 ,,
Belkin Boost Up Wireless Charging Vent Mount 10W,1,$34.99 ,$34.99 ,,
"Brother Genuine Super High Yield Black Ink Cartridge, LC3029BK, Replacement Black Ink, Page Yield Up To 3000 Pages, Dash Replenishment Cartridge, LC3029",1,$29.61 ,$29.61 ,,
Kensington Orbit Trackball Mouse (K64327F),1,$29.50 ,$29.50 ,,
"Xbox One Wired Controller - 9.8 Foot USB Cable, White, Version 2",1,$24.99 ,$24.99 ,,
"Xbox One Wired Controller - 9.8 Foot USB Cable, White, Version 2",1,$24.99 ,$24.99 ,,
OtterBox Symmetry Series Case for Google Pixel 3 - Retail Packaging - Black,1,$22.58 ,$22.58 ,,
T215 Standard-capacity Black Ink Cartridge,1,$21.99 ,$21.99 ,,
"PETG 3D Printer Filament, 1.75mm, Black, 1 kg Spool",1,$21.99 ,$21.99 ,,
"Speck Products StyleFolio Case and Stand for Samsung Galaxy Tab A 10.1, Syrah Purple/Magenta Pink (87401-5748)",1,$21.24 ,$21.24 ,,
"Turtle Beach Recon 70 White Gaming Headset for Xbox One, PlayStation 4 Pro, PlayStation 4, Nintendo Switch, PC, and Mobile - Xbox One",1,$20.93 ,$20.93 ,,
"PDP 048-083-NA Talon Media Remote Control for Xbox One, TV, Blu-Ray & Streaming Media",1,$19.88 ,$19.88 ,,
Tera Barcode Scanner Wireless Versatile 2-in-1 (2.4Ghz Wireless+USB 2.0 Wired) Rechargeable 1D Barcode Reader USB Handheld Bar Code Scanner Wireless with Stand,1,$18.49 ,$18.49 ,,
Tera Barcode Scanner Wireless Versatile 2-in-1 (2.4Ghz Wireless+USB 2.0 Wired) Rechargeable 1D Barcode Reader USB Handheld Bar Code Scanner Wireless with Stand,1,$18.49 ,$18.49 ,,
"DURAMIC 3D Premium PLA Plus Filament 1.75mm White, 3D Printing Filament with Build Surface 200 x 200mm, 1kg Spool(2.2lbs), Dimensional Accuracy +/- 0.05 mm, White",1,$17.01 ,$17.01 ,,
Samsung EE-UC10JUWEGUS USB-C to 3.5mm Headphone Jack Adapter for Note10 and Note10+ (US Version with ),1,$14.99 ,$14.99 ,,
"Nylon Braided Lightning to USB A Cable, MFi Certified iPhone Charger, Rose Gold, 6-Foot",1,$14.49 ,$14.49 ,,
"Nylon Braided USB-C to Lightning Cable, MFi Certified Charger for iPhone 11 Pro/11 Pro Max - Dark Gray, 3-Foot",1,$12.76 ,$12.76 ,,
Panasonic Telephone Headset,1,$11.88 ,$11.88 ,,
"Pendaflex File Folders, Letter Size, 8-1/2"" x 11"", Classic Manila, 1/3-Cut Tabs in Left, Right, Center Positions, 100 Per Box (65213)",1,$10.99 ,$10.99 ,,
"i-Blason Ares Clear Case for Galaxy Note 10 Plus/Note 10 Plus 5G 2019 Release, Dual Layer Rugged Clear Bumper Case Without Built-in Screen Protector (Black)",1,$10.84 ,$10.84 ,,
"Rosewill 120mm Case Fan 4-Pack, Long Life Sleeve Bearing Computer Case Fan ROCF-13001, Ultra Quiet Computer Cooling Fan 4 Pack 120 mm Standard Case Fan",1,$9.82 ,$9.82 ,,
"Bluehorn All in one Portable 40 Inch Aluminum Alloy Selfie Stick Phone Tripod with Wireless Remote Shutter for iPhone 11 pro Xs Max Xr X 8 7 6 Plus, Android Samsung Smartphone Vlogging Live Stream",1,$9.59 ,$9.59 ,,
"BESTEK 8 Outlets Power Strip Tower with 3 USB Ports Stackable Design Extend to 9 AC Outlets for PC Laptop Mobiles,6 Feet Extension Cord,White",1,$9.59 ,$9.59 ,,
"Avery Shipping Labels, Inkjet Printers, 250 Gift Labels, 2x4 Labels, Permanent Adhesive, TrueBlock (8163), White",1,$8.84 ,$8.84 ,,
"WTF Is My Password: Password Book Log Book AlphabeticalPocket Size Purple Flower Cover Black Frame 6"" x 9"" (Password Logbook)",1,$5.99 ,$5.99 ,,
"USB 2.0 A-Male to Micro B Charger Cable, 3 feet, Black",1,$5.26 ,$5.26 ,,
